strategy,direction,exit,symbol,n_trades,total_return,buy_hold,excess_return,sharpe,win_rate,avg_pnl_pct,max_dd,n_long,n_short
donchian_20_10,long_short,trailing,JNJ,99,-0.5689834575665299,2.058300781064007,-2.6272842386305366,-2.715865776077456,0.31313131313131315,-0.007541414141414141,0.6217844575285645,50,49
donchian_55_20,long_flat,regime,GOOGL,26,0.9050540878673718,13.0336470477322,-12.128592959864829,4.423629964083788,0.5769230769230769,0.030375384615384617,0.3011834434516174,26,0
donchian_55_20,long_flat,regime,XOM,20,0.8654916473380492,1.6234763470017382,-0.757984699663689,4.156036572001009,0.45,0.04167,0.19096308725566008,20,0
donchian_55_20,long_flat,regime,JNJ,26,0.31236082513823415,2.058300781064007,-1.7459399559257727,2.528811741288041,0.46153846153846156,0.01373846153846154,0.29252059811513476,26,0
donchian_55_20,long_flat,trailing,GOOGL,26,0.24043054287687693,13.0336470477322,-12.793216504855323,2.331241605886345,0.46153846153846156,0.010810769230769231,0.17231026518038778,26,0
donchian_55_20,long_flat,trailing,XOM,20,0.4709084312632521,1.6234763470017382,-1.152567915738486,5.139910655968357,0.5,0.0214275,0.09544532638026004,20,0
donchian_55_20,long_flat,trailing,JNJ,26,0.38079201300162846,2.058300781064007,-1.6775087680623784,3.837071385765727,0.5,0.014042692307692308,0.24089198960026037,26,0
donchian_55_20,long_short,regime,GOOGL,42,-0.2719686269370981,13.0336470477322,-13.3056156746693,-0.4203229442875974,0.42857142857142855,-0.0027095238095238084,0.4950708870950213,26,16
donchian_55_20,long_short,regime,XOM,40,0.14728916401938918,1.6234763470017382,-1.476187182982349,1.283361799514299,0.325,0.010685249999999997,0.514135492253899,20,20
donchian_55_20,long_short,regime,JNJ,47,-0.44933666639917924,2.058300781064007,-2.507637447463186,-2.2080890970241085,0.3404255319148936,-0.010195319148936169,0.6198655591367769,26,21
donchian_55_20,long_short,trailing,GOOGL,42,-0.43380156205202647,13.0336470477322,-13.467448609784228,-2.2929618715972766,0.35714285714285715,-0.010754285714285713,0.5867711779271445,26,16
donchian_55_20,long_short,trailing,XOM,40,0.09523471248572091,1.6234763470017382,-1.5282416345160172,1.0332274516271407,0.375,0.004156250000000001,0.2798877845520766,20,20
